Text,Label
Cristiano Ronaldo ghi ban thang giup Juventus gianh chien thang,Sports
Liverpool gianh chien thang truoc Chelsea,Sports
Cach lam mon banh mi nuong,Food
Cach lam mon pho bo,Food
Real Madrid thua tran dau cuoi cung trong mua giai,Sports
Mon ga xao sa ot la mon an ngon,Food
Doi tuyen Viet Nam gianh chien thang truoc Indonesia,Sports
Mon trung hap la mon an truyen thong,Food
Messi lap cu dup giup Barcelona thang tran dau,Sports
Mon thit kho tau la mon an dac trung cua mien Nam,Food
Djokovic thang chung ket Australian Open,Sports
Mon goi cuon la mon an chay pho bien,Food
Chelsea thua tran dau truoc West Ham,Sports
Mon bun rieu cua la mon an dac trung cua Ha Noi,Food
Nadal len ngoi vo dich Roland Garros,Sports
Cach lam mon cha gio,Food
Manchester United gianh chien thang truoc Tottenham,Sports
Mon lau thai la mon an dac trung cua Thai Lan,Food
Djokovic thang chung ket French Open,Sports
Mon chao long la mon an truyen thong cua Viet Nam,Food
Federer danh bai Nadal o tran dau dinh cao,Sports
Mon banh canh la mon an dac trung cua mien Trung,Food
Real Madrid gianh chien thang truoc Barcelona,Sports
Mon com tam la mon an dac trung cua mien Nam,Food
Doi tuyen bong da nu Viet Nam gianh chien thang,Sports
Mon banh trang nuong la mon an duong pho noi tieng,Food
Mon sushi la mon an truyen thong cua Nhat Ban,Food
Doi tuyen bong da nam Brazil gianh chien thang,Sports
Mon an dac trung cua Han Quoc kim chi,Food
Djokovic thang chung ket Wimbledon,Sports
Mon banh xeo la mon an dac trung cua mien Nam,Food
Doi tuyen bong ro My gianh chien thang Olympic Tokyo 2020,Sports
Cach lam mon nem ran,Food
Manchester City gianh chien thang truoc Arsenal,Sports
Mon an dac trung cua Mexico tacos,Food
Federer gianh chien thang tai giai Cincinnati Masters,Sports
Mon bun bo Hue la mon an dac trung cua mien Trung,Food
Doi tuyen bong da Phap gianh chien thang,Sports
Mon pizza la mon an dac trung cua Y,Food
Serena Williams len ngoi vo dich US Open,Sports
Mon an dac trung cua Tho Nhi Ky kebab,Food
Doi tuyen bong ro Trung Quoc gianh chien thang Olympic Tokyo 2020,Sports
Mon bun cha la mon an dac trung cua Ha Noi,Food
Barcelona gianh chien thang truoc Real Madrid,Sports
Mon an dac trung cua Tay Ban Nha paella,Food
Doi tuyen bong da Italia gianh chien thang,Sports
Mon an dac trung cua Thai Lan pad thai,Food
Osaka gianh chien thang tai giai US Open,Sports
Mon an dac trung cua An Do curry,Food
Doi tuyen bong ro Argentina gianh chien thang Olympic Tokyo 2020,Sports
